ID,ORDER_TYPE,ITEM_TYPE,ITEM_NAME,STATUS,RECEIPT_TIME,ACCEPTED_TIME,SENDER,RECEIVER,PICKUP_PLACE,PICKUP_TIME,PICKUP_PIN,RECEIVE_PLACE,RECEIVE_TIME,RECEIVE_PIN,NOTE
a0ae211d-59b4-4343-a266-48199c8967f3,,,,NOT_ACCEPTED_YET,2023-12-21 15:27:16.587836,,,,,,,,,,
bee89926-40f2-4198-a579-12acfc35d2d6,SEND,,,NOT_ACCEPTED_YET,2023-12-21 15:29:46.345564,,d12345@numazu.kosen-ac.jp,d23456@numazu.kosen-ac.jp,S科棟,16:10-16:20,,,,,
805d3054-acee-4433-abe4-0465e1d782f5,SEND,小物,鍵,NOT_ACCEPTED_YET,2023-12-21 17:28:50.538477,,MyMail@numazu.kosen-ac.jp,Targ@numazu.kosen-ac.jp,D科棟,15:10-15:20,1234.0,,,,なし
0a930bdc-a759-453f-ad1b-799ca8481df7,SEND,小物,鍵,NOT_ACCEPTED_YET,2023-12-21 17:48:57.694175,,MyMail@numazu.kosen-ac.jp,Targ@numazu.kosen-ac.jp,D科棟,15:10-15:20,1234.0,,,,なし
d4b0bda0-5e91-41ca-8049-b6f3fef74267,SEND,小物,鍵,NOT_ACCEPTED_YET,2023-12-21 17:56:52.315592,,MyMail@numazu.kosen-ac.jp,Targ@numazu.kosen-ac.jp,D科棟,15:10-15:20,1234.0,,,,なし
4c2b0a47-6931-4a3f-942a-9dd0ea692ee2,SEND,小物,テスト,NOT_ACCEPTED_YET,2023-12-21 17:59:20.390812,,Me@numazu.kosen-ac.jp,Target@numazu.kosen-ac.jp,D科棟,15:20-15:30,1234.0,,,,ああああああああ
c63c647a-cd7e-4b1a-9cf4-f57ffefd29f9,SEND,小物,チョーク,NOT_ACCEPTED_YET,2023-12-21 18:23:44.740293,,MyAddress@numazu.kosen-ac.jp,TgAddress@numazu.kosen-ac.jp,D科棟,16:00-16:10,1234.0,,,,ないよ
370e566b-a6c8-4340-8062-212b38896990,SEND,書類,歴史のプリント,NOT_ACCEPTED_YET,2023-12-21 18:24:51.994448,,Me@numazu.kosen-ac.jp,Tg@numazu.kosen-ac.jp,D科棟,15:10-15:20,1234.0,,,,
faa917b8-2dda-4cf0-bd81-d7390020ee46,SEND,小物,ちょ,NOT_ACCEPTED_YET,2023-12-21 18:55:04.888349,,Me@numazu.kosen-ac.jp,Tg@numazu.kosen-ac.jp,D科棟,16:10-16:20,1234.0,,,,
8e8e49a2-f153-481b-ae90-a15a941ad44b,SEND,小物,ああ,NOT_ACCEPTED_YET,2023-12-21 19:02:33.318061,,Test@numazu.kosen-ac.jp,test2@numazu.kosen-ac.jp,S科棟,16:00-16:10,1234.0,,,,
0f9bce76-107f-4adc-9f26-2a7647f275a2,SEND,書類,歴史プリント,NOT_ACCEPTED_YET,2023-12-21 19:07:50.345987,,MyAddress@numazu.kosen-ac.jp,TargetAddress@numazu.kosen-ac.jp,D科棟,16:00-16:10,12345678.0,,,,ない
19371338-4b2d-44a3-a86e-105a9ff63084,SEND,小物,a,NOT_ACCEPTED_YET,2023-12-21 19:08:32.289640,,a@numazu.kosen-ac.jp,b@numazu.kosen-ac.jp,D科棟,15:20-15:30,1111.0,,,,
